Global Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
193105,-0.2952
193106,0.0866
193107,0.1777
193108,0.1748
193109,0.2485
193110,0.3799
193111,-0.0297
193112,0.0401
193201,0.8857
193202,-0.4332
193203,-0.4273
193204,0.2993
193205,-0.1309
193206,-0.0880
193207,0.0700
193208,-0.0947
193209,0.1943
193210,0.1620
193211,-0.2707
193212,-0.2953
193301,-0.6880
193302,-0.7453
193303,-0.4342
193304,-0.3512
193305,-0.2398
193306,-0.1760
193307,-0.0849
193308,-0.0924
193309,-0.1943
193310,-0.0351
193311,-0.1774
193312,-0.7743
193401,-0.4022
193402,0.6050
193403,-0.3241
193404,-0.3832
193405,0.2767
193406,0.0302
193407,-0.0789
193408,-0.0397
193409,-0.3243
193410,0.0062
193411,0.2663
193412,0.1541
193501,-0.6039
193502,1.0029
193503,0.0089
193504,-0.5627
193505,-0.3486
193506,-0.1976
193507,0.0090
193508,-0.0258
193509,0.0047
193510,0.1560
193511,-0.7668
193512,-0.4209
193601,-0.5758
193602,-0.8536
193603,-0.3649
193604,-0.3222
193605,-0.0345
193606,-0.0085
193607,0.3102
193608,0.0455
193609,0.0077
193610,0.0686
193611,0.1312
193612,0.1734
193701,-0.4737
193702,0.1912
193703,-0.5625
193704,-0.3256
193705,0.0759
193706,0.1617
193707,-0.0245
193708,0.1728
193709,0.2441
193710,0.3239
193711,0.0022
193712,-0.2835
193801,0.0755
193802,0.0434
193803,0.3983
193804,0.4563
193805,0.1699
193806,-0.0824
193807,0.1015
193808,0.1485
193809,0.3448
193810,0.3866
193811,0.3801
193812,-0.3781
193901,0.1403
193902,0.0569
193903,-0.3815
193904,-0.1810
193905,0.1727
193906,0.1122
193907,0.0957
193908,0.1568
193909,-0.0682
193910,-0.2299
193911,0.0666
193912,1.1863
194001,-0.5709
194002,0.0613
194003,0.1295
194004,0.1866
194005,-0.1481
194006,0.1397
194007,0.2073
194008,-0.0017
194009,0.2109
194010,-0.0106
194011,-0.1020
194012,0.3899
194101,-0.0132
194102,0.2458
194103,-0.0654
194104,0.2161
194105,0.1759
194106,0.1746
194107,0.2571
194108,0.1930
194109,-0.1538
194110,0.3152
194111,-0.1033
194112,-0.0632
194201,0.3506
194202,-0.3499
194203,0.0096
194204,0.0008
194205,-0.0235
194206,0.1848
194207,-0.0726
194208,-0.0836
194209,0.1244
194210,0.1968
194211,0.3138
194212,0.1408
194301,-0.4149
194302,0.2600
194303,-0.1193
194304,0.2221
194305,0.1896
194306,-0.2871
